ticker,name,category,expense_ratio
nvzmy,"Novozymes A/S ADR(USD,NVZMY)",Intl Large Growth,0.0
NWFFX,"American Funds New World F1(USD,NWFFX)",Emerging Large Growth,0.0101
NWKDX,Nationwide Geneva Small Cap Gr Instl Svc,US Mid Growth,0.01
NWL,Newell Brands Inc,US Mid Value,0.0
NWSA,News Corp A,US Mid Blend,0.0
NX,Quanex Building Products Corp,US Small Blend,0.0
NXPI,"NXP Semiconductors NV(USD,NXPI)",Intl Large Growth,0.0
AMYZF,American Manganese Inc,Intl Small Blend,0.0
NXQ,"Nuveen Select TaxFree Income 2(USD,NXQ)",Long-Term Inv. Grade,0.0032
NXTTF,"Namaste Technologies Inc(USD,NXTTF)",Intl Small Growth,0.0
PWV,Invesco Dynamic Large Cap Value ETF,US Large Value,0.0058
NYVTX,Davis NY Venture A,** 75 US Large Value / 20 Intl Large Value / 5 Emerging Large Value **,0.0091
O,Realty Income Corp,US Real Estate,0.0
OAAAX,"Oppenheimer Active Allc A(USD,OAAAX)",** .47 US Large Growth / .34 Intl Large Growth / .19 Int-Term Inv. Grade **,0.0119
OAK,Oaktree Capital Group LLC,US Mid Blend ,0.0
OAKBX,"Oakmark Equity And Income Investor(USD,OAKBX)",** 55 US Large Value / 5 Intl Large Value / 35 Int-Term Inv. Grade / 5 Cash **,0.0084
OAKGX,"Oakmark Global Investor(USD,OAKGX)",** .5 US Large Value / .5 Intl Large Value,0.0115
OAKIX,Oakmark International I,Intl Large Blend,0.01
OAKLX,Oakmark Select I,** .88 US Large Blend / .12 Intl Large Blend,0.0096
AMZA,InfraCap MLP ETF,MLP,0.0193
OAKMX,Oakmark I,US Large Blend,0.0089
MBDFX,AMG GW&K Core Bond ESG I,Int-Term Inv. Grade,0.0056
OAKWX,Oakmark Global Select I,** 55 US Large Value / 45 Intl Large Value **,0.0112
OANEX,OAKMARK INTL SMALL CAP  FUND INST,Intl Mid Value,0.0117
OANIX,Oakmark International Institutional,Intl Large Blend,0.0078
OAYEX,OAKMARK INTL SMALL CAP FUND ADV,Intl Mid Blend,0.0121
OAYMX,OAKMARK FUND ADV,US Large Blend,0.0072
OCN,Ocwen Financial Corp,US Small Value,0.0
ODVCX,OPPENHEIMER DEVELOPING MARKETS C,Emerging Large Growth,0.0207
ODVIX,"Oppenheimer Developing Markets I(USD,ODVIX)",Emerging Large Growth,0.0086
ODVYX,Oppenheimer Developing Markets Y,Emerging Large Growth,0.0107
AMZN,Amazon.com Inc,US Large Growth,0.0
IDRSF,Idorsia Ltd,Intl Mid Growth,0.0
OEIAX,JPMorgan International Research Enh Eq A,Intl Large Value,0.006
OGE,"OGE Energy Corp(USD,OGE)",US Mid Value,0.0
OGIYX,Oppenheimer Global Opportunities Fund Cl Y,** 50 US Mid Growth / 50 Intl Mid Growth **,0.0092
OGLYX,Oppenheimer Global Y,** Large Growth (48% US 52% Intl) **,0.0089
OGZPY,"Gazprom PJSC ADR(USD,OGZPY)",Intl Large Value,0.0
OHYAX,JPMorgan High Yield A,High Yield,0.01
OHYFX,"JPMorgan High Yield I(USD,OHYFX)",High Yield,0.0075
OI,Owens-Illinois Inc,US Mid Blend,0.0
OIGAX,"Oppenheimer International Growth A(USD,OIGAX)",Intl Large Value,0.011
OIGIX,Oppenheimer International Growth I,Intl Large Growth,0.0069
ITM,VanEck Intermediate Muni ETF,Int-Term Inv. Grade,0.0024
AN,AUTONATION INC,US Small Value,0.0
OIGYX,Oppenheimer International Growth Y,Intl Large Growth,0.0085
OKE,ONEOK Inc,US Large Value,0.0
OKTA,Okta Inc A,US Mid Growth,0.0
OLCYX,Oppenheimer Rochester® Ltd Term CA MuniY,High Yield,0.0057
OLED,Universal Display Corp,US Mid Growth,0.0
OMC,Omnicom Group Inc,US Mid Value,0.0
OMI,Owens & Minor Inc,US Small Value,0.0
ON,ON Semiconductor Corp,US Mid Growth,0.0
ONIAX,JPMorgan Core Plus Bond Fund Class A,Int-Term Inv. Grade,0.0074
ICBMX,ICON Natural Resources and Infras Instl,Commodities,0.0128
OOSAX,"Oppenheimer Senior Floating Rate A(USD,OOSAX)",Bank Loans,0.0108
anab,"AnaptysBio Inc(USD,ANAB)",US Small Growth,0.0
OOSYX,Oppenheimer Senior Floating Rate Y,Bank Loans,0.0072
OPCXX,JPMorgan Liquid Assets Money Market C,Cash/Money Market,0.0
